employee_id,age,salary,tenure_years,performance_score,projects_completed,satisfaction_rating,department,region,employment_status,education_level,job_level,gender,hire_date,phone_extension
EMP01205,24.2,41832.52,6.9,57.19,,3.0,Product,East,Active,High School,Lead,Male,2016-09-02,5040
EMP01295,41.6,109509.38,7.0,75.44,11.0,5.0,Marketing,South,On Leave,High School,Mid,Female,2011-06-05,4441
EMP01710,55.0,52134.67,5.77,31.14,5.0,4.0,Marketing,Central,Active,Bachelor,Senior,Female,2023-11-22,4791
EMP01717,39.1,68124.98,0.91,87.71,2.0,3.0,engineering,South,Active,High School,Mid,Female,2016-01-02,3896
EMP01061,33.2,45218.24,0.57,33.99,5.0,3.0,Marketing,West,Inactive,,Manager,Male,2016-11-19,6144
EMP01979,22.2,,10.64,72.55,5.0,,HR,West,Active,Master,Senior,Female,2008-11-15,1556
EMP01380,29.9,174961.21,12.7,50.38,,3.0,Operations,South,Pending,Bachelor,Senior,Male,2015-04-06,1725
EMP01657,38.1,95886.55,2.43,74.63,7.0,3.0,Engineering,North,Active,Bachelor,Mid,Female,2022-06-24,5416
EMP01010,43.4,52838.3,2.69,60.04,9.0,4.0,Engineering,East,Active,Bachelor,Director,Female,2019-06-21,8633
EMP01597,35.3,78869.92,1.44,60.12,6.0,5.0,Sales,South,Active,Master,Lead,Female,2016-11-16,3856
EMP01758,39.8,58505.65,,51.26,2.0,3.0,Engineering,North,Active,Master,Director,Male,2009-06-03,5570
EMP01319,41.2,109663.57,0.26,58.88,3.0,5.0,Product,West,Active,PhD,Junior,Male,2023-04-21,3897
EMP01690,42.4,84577.74,0.84,80.8,5.0,5.0,engineering,West,Pending,PhD,Senior,Male,2017-06-21,5073
EMP01452,47.6,35050.52,2.23,86.34,13.0,3.0,Engineering,West,Inactive,Associate,Mid,Male,2011-08-17,7553
EMP01047,33.4,,8.54,61.77,7.0,4.0,Marketing,East,Active,Bachelor,Manager,Male,2006-03-04,3455
EMP01964,45.1,65357.48,2.41,87.01,7.0,3.0,Sales,North,On Leave,Bachelor,Mid,Non-binary,2005-11-27,5015
EMP01169,35.5,125614.26,2.2,59.8,5.0,4.0,HR,West,Active,Master,Manager,Male,2015-03-01,1443
EMP01751,28.8,48664.38,1.69,79.59,6.0,2.0,Engineering,Central,Active,Associate,Senior,Female,2012-01-24,2232
EMP01263,21.0,132581.88,15.29,86.38,13.0,4.0,Engineering,West,Active,Master,Manager,Male,2021-10-15,2785
EMP01665,30.9,,0.37,54.86,9.0,3.0,Engineering,South,Active,Bachelor,Lead,Female,2016-12-25,3562
EMP01351,41.1,76864.77,1.17,95.26,8.0,4.0,Finance,West,Active,Bachelor,Lead,Female,2008-08-03,1279
EMP01172,29.8,70466.63,2.72,72.6,8.0,3.0,Engineering,East,Active,Bachelor,Mid,Female,2022-12-09,2556
EMP01991,40.1,133936.59,5.09,69.8,7.0,5.0,Sales,South,Inactive,PhD,Mid,Male,2011-02-22,5943
EMP01014,21.0,44485.12,0.63,70.23,5.0,5.0,Engineering,East,Pending,Bachelor,Lead,Male,2005-02-08,3082
EMP01180,65.0,39691.57,7.0,67.48,3.0,4.0,Engineering,South,On Leave,Bachelor,Lead,Male,2016-01-02,6286
EMP01738,47.8,81694.81,1.02,72.0,9.0,4.0,Finance,South,Active,High School,Manager,Male,2017-09-11,8915
EMP01109,40.6,107973.05,2.54,,8.0,5.0,Finance,Central,Active,PhD,Manager,Female,2005-06-23,8595
EMP01552,36.4,175850.2,3.43,73.91,5.0,3.0,Finance,West,Active,Master,Senior,Female,2013-02-06,1308
EMP01564,34.7,96245.53,1.41,81.98,6.0,5.0,Product,East,Terminated,High School,Manager,Male,2008-03-12,7782
EMP01468,45.6,75255.57,14.38,82.29,5.0,4.0,Engineering,South,Active,Bachelor,Junior,Female,2007-08-26,6863
EMP01611,44.5,46733.75,7.67,35.59,7.0,3.0,Marketing,South,Active,Master,Mid,Female,2014-03-18,1249
EMP01816,23.1,172186.57,13.96,82.7,5.0,3.0,Operations,Central,Active,Bachelor,Junior,Male,2019-04-02,2819
EMP01980,45.6,56844.61,3.51,81.58,3.0,4.0,Operations,South,Active,Bachelor,Senior,Female,2020-07-05,9704
EMP01427,28.4,87616.18,5.55,66.98,6.0,4.0,Marketing,Central,Pending,Master,Senior,Female,2014-05-13,5502
EMP01661,32.3,59452.88,0.56,61.5,4.0,5.0,Engineering,Central,Active,PhD,Mid,Male,2013-04-10,6589
EMP01744,38.3,56609.22,5.85,38.57,5.0,5.0,Legal,Central,Active,Bachelor,Lead,Female,2014-11-10,8724
EMP01154,40.3,81984.73,3.02,90.75,4.0,4.0,Marketing,South,Inactive,Master,Mid,Male,2019-01-07,6940
EMP01099,38.1,34093.58,7.62,95.59,7.0,4.0,engineering,North,Terminated,Master,Mid,Male,2015-06-10,5533
EMP01025,32.6,64119.94,9.89,75.99,6.0,2.0,Finance,North,Active,Bachelor,Senior,Female,2010-12-01,2819
EMP01126,59.9,118050.03,2.66,82.26,6.0,4.0,,West,Active,Master,Mid,Male,2005-09-07,1675
EMP01329,209.01717698453874,,3.55,54.37,2.0,5.0,Engineering,Central,Active,High School,Lead,Female,2016-10-09,4489
EMP01620,40.2,85325.19,1.08,63.26,6.0,5.0,Marketing,South,Terminated,Bachelor,Manager,Male,2022-01-18,1904
EMP01968,56.0,56747.35,0.87,79.26,6.0,4.0,Product,East,Active,Bachelor,Junior,Male,2006-09-08,8706
EMP01490,46.8,51860.25,0.32,40.07,5.0,4.0,Product,West,On Leave,Bachelor,Junior,Female,2015-10-06,2893
EMP01685,25.8,25633.67,3.67,81.37,11.0,4.0,MARKETING,Central,Active,High School,Mid,Male,2007-11-18,8120
EMP01114,62.6,12891.0,5.76,90.69,1.0,5.0,Legal,West,Active,Master,Senior,Male,2011-06-23,5529
EMP01750,23.9,46781.98,0.98,75.88,8.0,4.0,Marketing,West,Active,,Mid,Female,2022-08-09,3917
EMP01861,40.0,130194.1,3.12,96.11,10.0,3.0,HR,South,Terminated,Bachelor,Mid,Male,2007-03-22,6569
EMP01206,28.6,44088.43,13.21,35.54,7.0,2.0,Engineering,North,Active,PhD,Senior,,2014-12-25,2776
EMP01026,39.1,29206.44,0.79,54.5,7.0,4.0,Operations,Central,Active,Bachelor,Manager,Male,2006-01-14,1276
EMP01223,44.9,51440.07,0.68,89.83,8.0,2.0,Engineering,East,Active,Bachelor,Senior,Male,2016-04-25,9865
EMP01298,41.1,97146.06,4.37,59.96,5.0,5.0,Legal,East,Inactive,Master,Senior,Male,2013-10-24,3902
EMP01187,,91774.67,1.92,50.5,7.0,5.0,Engineering,Central,Inactive,Associate,Mid,Male,2015-09-13,1748
EMP01516,45.6,106913.27,3.0,77.04,3.0,2.0,Engineering,Central,Active,PhD,Mid,Male,2008-01-14,6152
EMP01254,48.3,38446.49,2.27,77.65,3.0,3.0,Operations,Central,Active,Master,Mid,Male,2006-08-19,7301
EMP01229,30.8,95848.91,6.01,87.62,4.0,3.0,Operations,North,On Leave,Bachelor,,Female,2007-07-16,5337
EMP01745,43.2,133228.24,0.55,88.7,5.0,1.0,Engineering,West,Active,PhD,Senior,Female,2005-05-17,9528
EMP01139,46.1,43696.91,6.51,88.03,7.0,2.0,HR,Central,Active,Bachelor,Mid,Male,2022-08-14,9662
EMP01095,34.1,145707.27,,67.54,4.0,2.0,Operations,North,Inactive,Master,Mid,Male,2022-10-07,3633
EMP01700,36.2,44443.55,1.47,71.71,1.0,3.0,Engineering,West,Active,Master,Senior,Male,2006-12-19,4767
EMP01828,32.8,136725.18,9.88,95.85,5.0,2.0,Operations,North,Pending,Associate,Mid,Male,2011-05-05,5732
EMP01844,41.8,97843.27,14.05,83.7,7.0,5.0,Sales,East,Inactive,Bachelor,Mid,Male,2010-05-02,2863
EMP01141,40.3,134414.93,7.4,82.17,3.0,1.0,Finance,Central,Active,PhD,Senior,Male,2009-10-14,3396
EMP01658,37.8,166138.95,0.2,80.4,5.0,3.0,Finance,West,Inactive,PhD,Manager,Female,,7017
EMP01947,22.7,143391.63,1.22,60.31,5.0,2.0,HR,East,Active,Master,Junior,Female,2006-01-05,7036
EMP01629,38.6,53833.58,4.38,28.47,1.0,5.0,Operations,West,Active,Bachelor,Lead,Female,2012-01-24,3347
EMP01872,30.0,92118.69,2.21,78.32,4.0,2.0,Engineering,South,Active,Bachelor,Senior,Male,2013-01-23,3390
EMP01458,27.6,118658.3,,77.34,7.0,4.0,,West,Pending,Bachelor,Senior,Female,2019-06-10,8297
EMP01819,38.8,108030.77,10.1,52.03,4.0,2.0,Product,East,Active,Bachelor,Senior,Non-binary,2021-09-14,6851
